"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"6-phosphogluconic acid",1384359.98987213,1826980.41572996,3302596.17512975,2148702.08915572,5175746.81137955,3141577.33616652,1725319.00670039,1453036.71559838,2627894.96743108,4664204.86564004,1037393.92222363,3562589.83321308,2094866.56429693,3202270.37268394,996780.477254564,2535599.57642029,3412768.78766743,5067431.57298283,7866950.698767,2778541.81066611,1511976.30133773,2036610.00722411,2258180.97209414,373328.24446443,869752.420168007,10395876.1707193,4730729.22616396,1004662.32885359,697297.0760183,3639304.22113756,4901740.21384276,3173235.65969025,3947367.48757075,866891.59119788,2918031.67263813,2851090.8734017,3276240.54898398,604916.065028256,2585568.34247345,2303396.76318588,10637500.0619865,2235153.56372179,7715941.08483657,2788913.78902516,1237522.36923515,2745795.21263703,2958516.09363081,3828311.27472711,2884559.18828681,2796687.21423884
"aconitic acid",162613.353135768,122746.646106471,160604.416866329,105747.17286311,167244.976225072,177141.570523166,140593.593654316,195891.53595465,167817.586646071,185685.765799217,189466.148093327,115201.841653638,203199.225048301,157685.348648708,99837.219965566,235557.01466713,161027.745769136,135952.035981842,115488.8582309,122039.015618904,89576.584796391,139573.479427046,109372.005033297,67565.918382997,76506.248804124,102421.347135838,87043.054530593,100507.86382269,129268.882023663,115197.442013604,152950.775559675,112772.967878766,87315.83250487,101151.384058335,184931.685012741,116997.269339369,181029.95481081,106446.631196197,138381.054331886,89105.97015953,104011.132235092,156752.782695382,163613.167930295,82904.39558514,84592.74143892,116299.497548005,116982.985897475,132346.015061302,125814.061976001,122676.067700936
"adenine",32518.7303773634,37373.1855199323,41991.1408524913,36817.8053344541,51281.3077705391,42204.6210930252,37280.5004308124,35353.3915237271,39798.6481112586,41889.3792914223,43986.9631321506,44402.188929084,32328.0880619293,37415.612998882,35389.7031289,50232.0485579488,45357.3015102606,48486.1557167738,46716.9314518194,32849.2550637012,32340.165537649,39175.7719209089,39065.8397560393,23852.0593274184,34261.9661292673,50138.6403819385,43941.9889960901,33257.4009156428,34516.2359698881,40853.7141690006,33139.4030040092,43756.4028080324,46424.474368502,37560.9628874524,43096.3137841459,44942.8578458981,50910.3733532264,30577.9121797557,42557.6116139342,37002.7645528668,51837.544993275,45076.4292631252,57590.6657125173,32098.3544277284,53401.5183999467,36874.651987779,48578.455194483,45614.0945342858,39878.2294032174,37317.3389047501
"adenosine",19980544.6881101,6064289.72240654,17251313.7100894,9689156.0161239,23305886.269801,12926199.4324896,13396686.894807,10687574.9572012,5374405.10108458,13511416.9101531,20454165.2292551,7741895.61588993,17032407.3506265,19446296.0699528,9002069.21563841,7941292.34580123,14661542.3488833,1536378.95583593,25427827.2377076,16602072.9558545,11283193.9257567,14948741.6339259,1926475.70379506,11115113.3914864,5312202.77546751,19489557.8742552,17312995.530686,16494814.8418339,6916983.14698864,17823729.7252156,12982467.9209805,20939527.7871097,9181249.61072158,11621313.7815752,22550625.3754566,7367401.04663744,14140935.3740351,9109878.31367886,9946553.9015035,14500997.2377392,25771410.3199169,18957981.9044883,12808554.2158858,14381465.9061435,8244236.04120892,11363698.1862854,14536788.9518203,14189184.9019107,7665080.330834,7539886.60062342
"adenosine 3-monophosphate",365790.79707548,904036.33050391,810808.09377637,450303.097715871,1282167.68294824,929689.31927828,1008553.44120949,766549.45662354,1812179.97730068,1312648.3878291,1874469.25366658,853337.72615648,404865.382711946,1289363.68704921,1858183.76130721,3022059.61687369,1223462.28675421,5523409.66732479,1140612.85919143,1178800.90776202,702077.640586956,880527.092297108,3540276.20771367,1064308.77954766,1555670.05446922,529812.178999004,909077.2866671,856603.779019788,2955881.63601109,863080.445911528,1889747.71587831,1017501.19172527,628777.705799157,786315.4906776,688409.564546156,223368.94467588,781377.27698952,11555.39244756,1521574.88286492,555438.009394204,1310202.02406227,1012461.07471371,2289681.64723232,660259.7459128,1009861.1670004,844200.2408475,1091271.43325826,2554987.26802372,1150549.42452241,803089.96850658
"adenosine 5-monophosphate",11249641.5499072,21969833.1055027,12273597.1382816,14600059.6593233,21505917.5162275,16247713.2736066,9266711.54607208,16592865.0626603,9544798.34101482,24502760.2349409,13965029.54914,8844442.12834355,10788652.6797055,11154834.8250695,14430505.2750127,13336876.5115202,9932485.6072957,9521518.07830832,14283696.6389951,11308894.327665,8140741.85383594,7538376.83859678,10326337.9638505,5592286.67210066,11177437.1187032,36888833.6521552,25241505.9423041,7447602.17089572,8769371.37496922,11252636.6760266,36700855.8529333,19175462.1174757,28930198.901305,12340629.4523867,20552201.352408,14084151.6001964,17526025.423873,9565006.1833664,17085122.1178082,9009547.05315129,19963551.1777169,11880398.076349,25713656.9136692,8516296.55325053,15060315.6592383,13818195.1084376,9386403.89060302,18027317.4598844,9233753.6997428,6702529.78197043
"beta-glycerolphosphate",497908.721279856,352907.71720714,803590.360167161,354063.61603063,508011.893441568,551346.697840695,407486.20827729,430766.072907908,528136.726498975,672644.421452972,524589.827824155,360454.376756984,380284.673804949,466120.310146128,511732.040098903,658960.751298531,500729.789630419,365804.664799912,956273.170010573,315510.997131597,249476.11826684,592552.695508648,429929.205979747,196594.926348608,499700.472710747,996289.086571387,952791.747160508,422584.432155004,639101.544750423,526056.852018738,845134.483871411,393981.065465528,578510.769048402,241415.826949322,531756.496980927,467221.870904103,781165.120124481,362116.15340483,652788.052207011,278759.274275485,907658.575952697,556170.494452905,679201.026783162,294375.812293448,553113.249872616,404456.654375352,477258.922101864,503678.370801345,367771.493260265,386655.01230663
"carbonate ion",4580793.89780852,4003417.43592756,4228243.34508991,3902737.53468521,5042945.5353247,5636416.56856205,4368624.63216134,4446386.62322388,4420395.24605851,4714696.42368105,5071145.98638249,4693424.61619143,3965349.13857543,4177473.90089895,4472567.68284988,6247824.6965123,4744617.81736907,4233679.88453021,3697256.05831277,3327920.15851396,3610613.73802078,3725615.59249605,3796373.7330293,3732606.19141483,3849754.61483091,5035953.08292941,5963263.40526292,3914370.57661758,4734729.80119358,4386052.87456679,5272353.53635707,4598453.29356883,4725175.37769967,4723721.86040638,5218211.3489575,4459249.73206667,6629209.45289787,4129760.08480969,4272750.02720731,4258129.64322281,5152305.33886405,4623760.70356354,5267572.8463188,3961021.28421736,4006752.13883863,3929954.53986352,4174267.13317041,4159361.71253895,3440005.43079173,3605741.82251523
"citric acid",10695125,11275535,8790706,8666426,11531091,18557130,5352023,9866428,6410312,16340547,10686331,4009405,19459516,10716534,6679820,8843906,11734602,12233287,17848468,11782719,19610630,5833896,6547309,10977577,8247358,9239526,9980504,10072673,11566338,8864650,15717986,14345622,15828941,11158821,14767569,9121583,10258034,8301976,10581644,9453615,11763636,12993886,14491758,10411252,6376659,10771984,11436600,15094974,7785273,11848348
"creatinine",612364.544191035,592526.543226088,412829.310928975,552418.118765095,502933.267970784,939995.894571525,360088.448532348,354085.88161517,392649.120574916,579419.59543976,473041.2585411,801682.411057064,756429.13693958,453102.873430558,577495.204226955,467405.121419125,285441.7465516,354857.045774806,319634.237289525,371013.16144279,386133.526226558,187305.344777226,227154.314246023,291136.859838912,156468.297662508,618597.640509646,595380.83019178,480260.20777414,512490.04800047,462485.214523968,414139.867435354,521937.35543588,654919.218810408,685011.487485266,1695517.38925369,1305132.05171653,1320500.56754335,345339.00238277,448736.513495424,700385.116743946,374261.07220512,446213.460274185,416569.294717016,489989.112301912,403005.719883266,452354.671658675,248325.104893298,401411.402372336,188018.61089035,484312.022467112
"dehydroalanine",230565.191632736,166597.492385459,201424.458775436,215049.985605648,266672.391289197,158985.783869585,234160.199050799,209630.935536266,218921.193695029,347932.526486398,243198.604191946,219720.609073109,275285.262661412,248245.998620512,218282.099866527,315504.938871113,209687.813873181,212286.901770995,448371.811977861,175189.33110968,204315.115769581,224240.062874908,238094.317461152,149321.843207026,216415.597588418,189126.596485624,288397.165622172,172263.505888074,189618.04820686,166837.700663997,213563.705300278,218451.849453914,491749.586914794,211415.425341867,198468.906887438,292695.555717778,290451.638978203,161744.886363552,249585.980986184,208664.177672706,279265.330110421,212895.929427492,312575.286220442,185546.849634127,317188.9744666,251656.674391975,224113.924359493,174937.092177452,227839.678016896,222926.756618548
"dehydroascorbic acid",6555645.28679942,10904767.397176,8947384.674828,9758712.55367159,12511976.0472684,7022907.62686735,6607947.61852395,7687241.50760171,9473636.23014028,9420611.82670235,7292315.82799139,3062543.95234244,5452009.46828161,9807808.09109275,8224094.75868052,10906081.0088777,9195367.51733597,11535819.2545382,7995030.38009585,3222935.82228349,3461656.51068922,6852978.31273713,12918574.0478431,4369759.25839979,7851615.63035235,13535907.1782646,13845462.9107169,6362415.71918891,4520867.976756,6463176.01267475,10308398.418511,9079951.30354672,10870601.8453208,3688316.33123916,2625516.08103407,6168660.09836538,9746167.8935058,6763931.99714779,11261875.9106809,4335857.44766122,16405334.1455094,9089752.07428459,13553822.5156593,4010201.35262859,10161328.3031695,7564873.18051537,8464798.45459231,9437365.26319404,6279237.09231614,6684108.19020358
"D-fructose-1,6-diphosphate",1773865.36139396,1511925.08295209,1650639.21027917,729358.53860777,3126948.13858424,1169570.01553206,490975.741477307,663671.0876534,1538616.13516242,1543068.48812012,964122.14112648,445450.83746435,358712.26043054,1006791.46102832,1591908.63507123,1650225.12473387,1413366.37375548,4074792.86044203,2219832.04382141,762951.572531466,277971.174118396,1553845.06335096,1522416.18937532,539700.03848373,1359968.80568521,2817074.00130752,2032275.57108082,556623.005281477,2396795.53329745,1194510.47536763,945843.02738727,1515941.32096053,1172160.91889564,1586006.97699364,980852.22760574,496889.19354432,2271786.37618155,95140.15084398,1056565.15174567,360473.57702788,2818087.00204914,1295546.44781567,1821151.82494371,1156204.50506501,1808504.32565018,972379.46502176,1320346.23342546,1782480.71270896,481235.39558492,398503.58098329
"D-fructose-6-phosphate [major]",1779506.87183915,3150141.5288683,2817741.86825783,2473775.54194805,4706327.3456689,2108771.24022174,2217945.63630495,2005694.67094311,2479225.63768808,3490482.61952953,1967933.52891256,4127898.66734768,1781176.79904913,2625631.21444697,1926668.77674738,2753394.23624399,2296221.75308651,3098791.03521319,5080838.60492682,2121130.27239158,1461670.63621351,1214041.87697845,1855782.18799078,740950.588281053,1561623.95469331,10498547.6641195,5330381.13512978,1501856.34003368,1811782.81681222,3107076.39642531,2805157.2793756,3365855.9425502,3933524.09346422,2526441.35444581,2460981.91535603,2946343.00380632,3385830.38445932,1258156.73380595,2415240.1257336,1694226.77722117,7331047.09475829,2236999.83298478,5711063.16132006,2200776.74561945,3344827.58364438,2089101.78300405,1804537.32714184,2901008.12640088,2089543.47423651,2332511.71335351
"D-gluconic acid",121346.998392135,196121.125471371,188062.438392989,216675.223531977,288387.587070186,194174.496218172,309746.397571158,203482.848269813,205757.829801218,216415.992268832,350719.041838467,208148.304098638,202187.404690319,200133.39804226,215468.960171979,204957.327188086,190754.465970438,288497.520529334,298766.74440253,179003.233847237,148614.816153581,136738.85560627,182466.878241455,264304.192994224,149664.495975043,277960.404431396,282158.602978988,159059.645237661,322791.299322561,272391.074637025,154582.620520511,174267.165982283,246336.813450765,154438.116080186,235544.533959768,262107.50914735,249010.989351177,81154.610188044,143118.289646553,215039.983961448,267550.893325147,145239.867782176,233896.173580249,12771080.2204569,197818.522073471,251344.01423371,167914.628307592,162713.917480234,126203.151322316,281786.52855251
"D-glucose",17293208.1357355,18787148.0258167,15158547.4162562,20313030.9790803,21648261.7329752,19526925.431709,20300337.079267,14191456.8814634,20126377.3434515,21551477.1241218,18632742.4750059,15950280.6835189,17495322.883193,19538073.5438908,14746514.8359638,23442775.0381964,14517663.8900216,23322299.6816111,18022442.1545823,20949220.3413301,13284660.3715971,9346154.48696856,15227451.4889184,13156867.2021548,17474533.8049507,21053987.0248673,27421471.6939724,17409109.226127,18720942.0626142,19138920.8153786,22513019.3786975,22783653.193876,27879399.2808997,20056962.1787364,5897521.91826612,18650101.9766469,16717610.1176667,14817910.8099679,19033161.3545989,15331697.3799608,22600937.2607208,16686530.786845,22621200.3697612,16193971.5756099,13853168.9651904,16992217.9946118,12697255.9372589,21927095.6581318,17216359.6970698,17024286.2730173
"D-glucose-6-phosphate [major]",1157690.31428836,1955474.26692481,1579598.15139089,1671412.28504045,2534058.14327591,1417460.15980212,1331892.8205831,1190244.82844746,1423344.60336867,2380978.48704019,1193424.18206417,2288218.39079202,1304420.54974966,1587052.1666459,1184149.75022034,1767297.21082874,1581487.43865614,1847604.14233625,2998098.7723743,1233902.90571407,1299330.86879107,859461.004613811,1384970.28395832,570402.770092681,882373.187587259,6050768.38730994,3209469.25576104,951319.217539141,1159040.31114857,1765544.06023424,1461822.98794428,1868866.20360845,2355159.46953906,1378399.11485378,1642213.14917721,1507548.19443573,1696409.23386122,819865.415821118,1420418.11508641,1073227.65968465,4217119.839802,1415612.3850646,3053276.51537227,1495585.36407842,2183175.75662828,1445537.56081024,1203545.97703684,1705906.35702951,1404132.36007574,1565815.87313368
"D-glucuronic acid",97293.778228977,177052.245984797,105026.660521756,134064.05072279,295032.908832525,100465.355301867,140588.004134916,203338.85770166,228098.378805785,186287.019670687,144149.853566063,210132.175705812,165102.641037352,188991.987802153,108086.246918378,83101.257622302,253928.72284237,201576.297453787,179283.864496356,86975.023806911,232633.962488771,74021.960935792,249186.308532913,149186.372575302,69683.847065066,87487.19628643,196880.47411706,65628.310083334,153262.643735428,114551.647144478,86061.291911963,85871.466041524,223152.96072484,121921.101812503,125720.254974931,178421.127204006,292613.691423399,50844.528846585,95247.088181849,103558.15919297,113218.297709888,93497.634489934,194318.915476596,158783.883681761,97501.616620608,85206.601039388,126412.037438441,133060.949345947,89274.867782562,153309.937169489
"D-glycero-D-gulo-heptose*",1007008.52775036,929136.231378557,1384262.86277946,851959.24244928,1233043.01667764,866181.194994631,1186330.97668739,719112.654781613,737979.386594181,1342735.1552298,1075996.63281819,1741066.41411907,971761.455006158,1097800.47062233,1213542.14781769,1156031.83544048,1214346.86483704,1502565.11657333,1277802.03816638,963646.729314491,1058337.46216147,894316.289775676,1035117.86253852,656068.921691193,876518.772201953,1630725.01082938,1424077.96382746,719576.342705522,1129031.07163257,985745.301325567,720457.528637202,1090086.44391576,1322358.10436185,672481.677463746,1882444.151454,1521093.91612317,1176083.42365742,380387.899834715,931121.099312305,776345.80812459,1492311.51550753,1143057.03932194,1245334.66878333,925537.100581421,1418353.09436299,1026639.08685121,1066975.01414972,1361631.94379377,1127195.5820531,880103.368621002
"dihydrouracil",1009384.34237501,922644.933465164,1079325.23331804,820040.288259906,1379700.82095608,891945.704700591,843116.37359365,889637.024197005,1151718.63563178,1084074.76404844,984981.099364069,1174770.52695723,891903.159823546,930386.144594713,921725.348580642,1118326.26700812,1173481.7062353,975684.681039521,1171011.96333744,633645.177487104,958187.408710725,868924.479087752,1066274.49472607,538033.88999903,785047.94510049,902566.873395182,1171105.38096934,786612.50836042,898875.503346005,834216.762225197,574989.18743829,1034095.36945592,923050.333331464,968552.258440452,1226287.29473806,955522.125536429,1356860.64282215,535256.862516011,937196.231817055,630769.336127466,1189385.6551015,1018167.88660924,1192417.33256749,545358.911974557,1524271.64030934,870965.190506023,719426.011489321,724014.199242213,682155.313059774,646976.505553815
"dihydroxyacetone phosphate",414848.069040465,595938.78319727,804659.671371259,637549.77562798,974762.031893972,841574.256027572,606738.483364327,501463.15890855,1219921.92225822,1167972.96537347,843268.394268414,631170.238473173,533285.842694738,998376.892714905,882438.699739649,1490108.93350918,761090.699307463,1614483.47090923,1554561.31311403,1147819.85154568,470421.527955258,938768.118855989,1390351.9150523,335980.142968948,736583.418297357,1346537.60194649,1388805.26403512,685873.865725999,1054038.57865882,1240125.23493951,1039374.96094683,852505.17423545,939771.083814335,985244.932585614,1189736.25345119,908279.324125158,1546432.34022757,451577.161092296,1248455.05865309,657223.473337745,1518695.61354746,736202.904408712,1385091.33406502,543719.731744532,706515.980093996,465550.159945164,597124.764139255,599765.930850119,338999.717116733,405312.675173545
"D-mannose",4435300.06688625,5746785.35555139,5024085.44043075,5071210.45017128,6996277.14537698,4716223.2699253,5147071.43258821,3292715.58326106,5569841.70547544,6764458.9236877,4504610.40672275,2829327.74048108,3570469.95194625,5250586.10607116,3765910.09801401,6695033.04134433,3990043.07593081,6203846.16516695,5224779.005353,4918301.42694211,2381201.27557774,1910583.24587862,3328426.55639361,3165878.75201196,3574481.48856529,7022861.6042599,7539140.6941954,3560255.84819801,3482775.8484135,5267543.88181405,5093716.20551471,4595796.58886975,8039020.36983893,4773802.53052322,3135071.02131389,5942409.52142694,4122575.59276506,3438341.37259193,4055461.2951248,3768486.42219307,7938587.44619245,4468470.53667192,5740204.28897437,4239721.92446925,5207996.80714859,4061629.26735671,3014466.01602858,4265605.09290873,4519931.95134372,4654058.86272687
"D-ribitol",1181460.6002682,2290978.54532564,1167964.08920021,2011716.98044044,1986612.61817859,938870.78184922,1927131.45689817,1059659.57824802,2490898.70573219,1188985.99027273,1559616.35298635,3517238.41066639,1218727.22583176,1108960.71273845,1094528.80710644,1249943.32462574,2259204.97784098,1206804.11727538,1142528.90666922,493186.90753021,2131472.25930097,985931.633260472,1331816.62733822,836914.304416431,1053167.3967465,1537272.81389772,1615158.28003045,811051.713239394,741700.471986209,1712200.28209189,578997.57912711,939388.800740471,2222589.71844953,1397243.86045935,1536181.19204513,1906326.70327175,2479259.18737003,645874.087565903,871259.238675094,1241716.88488107,1339880.73232109,1061992.98663305,2641270.53487492,1129485.64942379,2473853.87701479,1018582.01362372,1633338.350013,1208714.24580015,1346262.29959382,1644481.75702274
